0 	0 	0 	0
0.00217143 	-8.18055e-06 	-0.109637 	-0.000297824
0.00434286 	-2.87121e-06 	-0.158411 	-0.00046748
0.00651429 	1.19962e-05 	-0.166649 	-0.000479768
0.00868571 	2.71257e-05 	-0.159665 	-0.000432914
0.0108571 	3.4554e-05 	-0.150195 	-0.000381896
0.0130286 	3.57129e-05 	-0.140612 	-0.000334678
0.0152 	3.39971e-05 	-0.131135 	-0.000290937
0.0173714 	3.0712e-05 	-0.121706 	-0.000249739
0.0195429 	2.65658e-05 	-0.112243 	-0.000210292
0.0217143 	2.19672e-05 	-0.102676 	-0.000171979
0.0238857 	1.71723e-05 	-0.0929462 	-0.000134289
0.0260571 	1.22822e-05 	-0.0828877 	-9.61354e-05
0.0282286 	7.27506e-06 	-0.0722007 	-5.61273e-05
0.0304 	2.06248e-06 	-0.0606996 	-1.36437e-05
0.0325714 	-3.48443e-06 	-0.0484146 	3.11287e-05
0.0347429 	-9.40561e-06 	-0.0354719 	7.75146e-05
0.0369143 	-1.56606e-05 	-0.0220131 	0.000124639
0.0390857 	-2.22949e-05 	-0.00816142 	0.000171549
0.0412571 	-2.94646e-05 	0.00598283 	0.000217003
0.0434286 	-3.73665e-05 	0.0203296 	0.000259879
0.0456 	-4.63016e-05 	0.0347836 	0.00029918
0.0477714 	-5.65652e-05 	0.0492362 	0.000333659
0.0499429 	-6.80717e-05 	0.0635612 	0.00036214
0.0521143 	-8.00162e-05 	0.0776238 	0.000383653
0.0542857 	-9.07934e-05 	0.0913121 	0.000397565
0.0564571 	-9.87764e-05 	0.104606 	0.000403595
0.0586286 	-0.000103657 	0.117729 	0.000401413
0.0608 	-0.000105761 	0.131101 	0.000390443
0.0629714 	-0.000104709 	0.145065 	0.000369789
0.0651429 	-9.95127e-05 	0.159897 	0.00033757
0.0673143 	-8.83335e-05 	0.175876 	0.000289332
0.0694857 	-6.57415e-05 	0.191959 	0.000215637
0.0716571 	-1.02137e-06 	0.195317 	0.000117941
0.0738286 	6.02498e-05 	0.146201 	4.71063e-05
0.076 	0 	0 	0
