0 	288.15
0.00217143 	289.265
0.00434286 	290.318
0.00651429 	291.157
0.00868571 	291.698
0.0108571 	292.024
0.0130286 	292.238
0.0152 	292.392
0.0173714 	292.513
0.0195429 	292.612
0.0217143 	292.696
0.0238857 	292.769
0.0260571 	292.834
0.0282286 	292.894
0.0304 	292.949
0.0325714 	293.002
0.0347429 	293.054
0.0369143 	293.105
0.0390857 	293.157
0.0412571 	293.209
0.0434286 	293.263
0.0456 	293.323
0.0477714 	293.39
0.0499429 	293.471
0.0521143 	293.575
0.0542857 	293.714
0.0564571 	293.913
0.0586286 	294.205
0.0608 	294.64
0.0629714 	295.286
0.0651429 	296.237
0.0673143 	297.609
0.0694857 	299.532
0.0716571 	302.019
0.0738286 	304.828
0.076 	307.75
