0 	288.15
0.00217143 	290.922
0.00434286 	293.553
0.00651429 	295.827
0.00868571 	297.583
0.0108571 	298.834
0.0130286 	299.685
0.0152 	300.24
0.0173714 	300.581
0.0195429 	300.765
0.0217143 	300.836
0.0238857 	300.83
0.0260571 	300.77
0.0282286 	300.672
0.0304 	300.552
0.0325714 	300.42
0.0347429 	300.282
0.0369143 	300.145
0.0390857 	300.014
0.0412571 	299.893
0.0434286 	299.785
0.0456 	299.694
0.0477714 	299.623
0.0499429 	299.574
0.0521143 	299.552
0.0542857 	299.562
0.0564571 	299.612
0.0586286 	299.714
0.0608 	299.883
0.0629714 	300.142
0.0651429 	300.535
0.0673143 	301.157
0.0694857 	302.186
0.0716571 	303.745
0.0738286 	305.687
0.076 	307.75
