# Wall heat-flux
# Time        	patch         	min           	max           	integral      
74            	minY	0.000000e+00	0.000000e+00	0.000000e+00
74            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
74            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
74            	oil_to_sphere	1.393013e+04	1.513377e+04	4.094333e+01
76            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
76            	minX	0.000000e+00	0.000000e+00	0.000000e+00
76            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
76            	minY	0.000000e+00	0.000000e+00	0.000000e+00
76            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
76            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
76            	oil_to_sphere	1.366275e+04	1.487110e+04	4.020162e+01
78            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
78            	minX	0.000000e+00	0.000000e+00	0.000000e+00
78            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
78            	minY	0.000000e+00	0.000000e+00	0.000000e+00
78            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
78            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
78            	oil_to_sphere	1.339853e+04	1.461154e+04	3.946871e+01
80            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
80            	minX	0.000000e+00	0.000000e+00	0.000000e+00
80            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
80            	minY	0.000000e+00	0.000000e+00	0.000000e+00
80            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
80            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
80            	oil_to_sphere	1.313749e+04	1.435513e+04	3.874463e+01
82            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
82            	minX	0.000000e+00	0.000000e+00	0.000000e+00
82            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
82            	minY	0.000000e+00	0.000000e+00	0.000000e+00
82            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
82            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
82            	oil_to_sphere	1.287961e+04	1.410184e+04	3.802936e+01
84            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
84            	minX	0.000000e+00	0.000000e+00	0.000000e+00
84            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
84            	minY	0.000000e+00	0.000000e+00	0.000000e+00
84            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
84            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
84            	oil_to_sphere	1.262497e+04	1.385174e+04	3.732308e+01
86            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
86            	minX	0.000000e+00	0.000000e+00	0.000000e+00
86            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
86            	minY	0.000000e+00	0.000000e+00	0.000000e+00
86            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
86            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
86            	oil_to_sphere	1.237355e+04	1.360482e+04	3.662576e+01
88            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
88            	minX	0.000000e+00	0.000000e+00	0.000000e+00
88            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
88            	minY	0.000000e+00	0.000000e+00	0.000000e+00
88            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
88            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
88            	oil_to_sphere	1.212535e+04	1.336108e+04	3.593742e+01
90            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
90            	minX	0.000000e+00	0.000000e+00	0.000000e+00
90            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
90            	minY	0.000000e+00	0.000000e+00	0.000000e+00
90            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
90            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
90            	oil_to_sphere	1.188040e+04	1.312055e+04	3.525809e+01
92            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
92            	minX	0.000000e+00	0.000000e+00	0.000000e+00
92            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
92            	minY	0.000000e+00	0.000000e+00	0.000000e+00
92            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
92            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
92            	oil_to_sphere	1.163869e+04	1.288321e+04	3.458779e+01
94            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
94            	minX	0.000000e+00	0.000000e+00	0.000000e+00
94            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
94            	minY	0.000000e+00	0.000000e+00	0.000000e+00
94            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
94            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
94            	oil_to_sphere	1.140024e+04	1.264908e+04	3.392652e+01
96            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
96            	minX	0.000000e+00	0.000000e+00	0.000000e+00
96            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
96            	minY	0.000000e+00	0.000000e+00	0.000000e+00
96            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
96            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
96            	oil_to_sphere	1.116505e+04	1.241816e+04	3.327431e+01
98            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
98            	minX	0.000000e+00	0.000000e+00	0.000000e+00
98            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
98            	minY	0.000000e+00	0.000000e+00	0.000000e+00
98            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
98            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
98            	oil_to_sphere	1.093311e+04	1.219045e+04	3.263115e+01
100           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
100           	minX	0.000000e+00	0.000000e+00	0.000000e+00
100           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
100           	minY	0.000000e+00	0.000000e+00	0.000000e+00
100           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
100           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
100           	oil_to_sphere	1.070443e+04	1.196595e+04	3.199704e+01
102           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
102           	minX	0.000000e+00	0.000000e+00	0.000000e+00
102           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
102           	minY	0.000000e+00	0.000000e+00	0.000000e+00
102           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
102           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
102           	oil_to_sphere	1.047901e+04	1.174466e+04	3.137199e+01
104           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
104           	minX	0.000000e+00	0.000000e+00	0.000000e+00
104           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
104           	minY	0.000000e+00	0.000000e+00	0.000000e+00
104           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
104           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
104           	oil_to_sphere	1.025684e+04	1.152657e+04	3.075597e+01
106           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
106           	minX	0.000000e+00	0.000000e+00	0.000000e+00
106           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
106           	minY	0.000000e+00	0.000000e+00	0.000000e+00
106           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
106           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
106           	oil_to_sphere	1.003790e+04	1.131166e+04	3.014892e+01
108           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
108           	minX	0.000000e+00	0.000000e+00	0.000000e+00
108           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
108           	minY	0.000000e+00	0.000000e+00	0.000000e+00
108           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
108           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
108           	oil_to_sphere	9.822230e+03	1.109997e+04	2.955094e+01
110           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
110           	minX	0.000000e+00	0.000000e+00	0.000000e+00
110           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
110           	minY	0.000000e+00	0.000000e+00	0.000000e+00
110           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
110           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
110           	oil_to_sphere	9.609793e+03	1.089146e+04	2.896194e+01
112           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
112           	minX	0.000000e+00	0.000000e+00	0.000000e+00
