# Region type : patch oil_to_sphere
# Faces       : 24344
# Area        : 2.824888e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(T)
9.13576e-05   	-7.029342e+02	4.999281e+02
0.000182715   	-7.029090e+02	4.999373e+02
0.000274056   	-7.028972e+02	4.999265e+02
0.000365397   	-7.028843e+02	4.999176e+02
0.000456738   	-7.028753e+02	4.999097e+02
0.000548079   	-7.029279e+02	4.999027e+02
0.00063942    	-7.038110e+02	4.998962e+02
0.000668768   	-7.078822e+02	4.998900e+02
0.000670846   	-7.558788e+02	4.998878e+02
