# Region type : patch oil_to_sphere
# Faces       : 1536
# Area        : 2.817674e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(T)
0.32          	-5.977674e+02	4.965416e+02
0.33          	-5.978124e+02	4.964709e+02
0.34          	-5.978574e+02	4.964000e+02
0.35          	-5.979039e+02	4.963268e+02
0.36          	-5.979489e+02	4.962559e+02
0.37          	-5.979939e+02	4.961850e+02
0.38          	-5.980388e+02	4.961141e+02
0.39          	-5.980847e+02	4.960416e+02
